USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,57.6858637,0.0273927,0.0449074,0.0044201,1.8751730,21.2733022,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,80.1316571,0.0239598,0.0406902,0.0045370,1.8751742,21.2733022,"[0.9994072, -0.0342460, -0.0035735, 0.0261362, 0.0342461, 0.9994136, -0.0000336, 0.0542463, 0.0035725, -0.0000888, 0.9999936, -0.0230221, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,79.9792688,0.0220338,0.0376035,0.0045528,1.8751742,21.2733022,"[0.9990935, -0.0424204, -0.0036939, 0.0299234, 0.0424678, 0.9990015, 0.0139080, 0.0396357, 0.0031005, -0.0140522, 0.9998965, -0.0153223, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,79.5642292,0.0214914,0.0365162,0.0045607,1.8751743,21.2733022,"[0.9993512, -0.0338992, -0.0121871, 0.0389841, 0.0340700, 0.9993203, 0.0140964, 0.0284356, 0.0117011, -0.0145024, 0.9998264, -0.0059524, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,81.2358131,0.0207307,0.0352472,0.0046163,1.8751749,21.2733022,"[0.9993320, -0.0339149, -0.0136386, 0.0413837, 0.0341470, 0.9992697, 0.0171671, 0.0234572, 0.0130467, -0.0176211, 0.9997597, -0.0022725, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,81.2284636,0.0208194,0.0354250,0.0046403,1.8751751,21.2733022,"[0.9992313, -0.0369881, -0.0130132, 0.0422729, 0.0372231, 0.9991395, 0.0183164, 0.0247660, 0.0123248, -0.0187865, 0.9997477, -0.0036428, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,78.5798736,0.0211418,0.0359096,0.0045924,1.8751746,21.2733022,"[0.9991678, -0.0391627, -0.0114396, 0.0412760, 0.0393724, 0.9990494, 0.0187342, 0.0246311, 0.0106954, -0.0191688, 0.9997592, -0.0064330, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,78.9242933,0.0212612,0.0359002,0.0046323,1.8751750,21.2733022,"[0.9991984, -0.0381669, -0.0121047, 0.0418812, 0.0383747, 0.9991117, 0.0174345, 0.0220358, 0.0114288, -0.0178848, 0.9997748, -0.0068538, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,77.9061747,0.0215511,0.0357709,0.0046243,1.8751750,21.2733022,"[0.9994612, -0.0293815, -0.0146447, 0.0413616, 0.0295786, 0.9994723, 0.0134340, 0.0135516, 0.0142424, -0.0138598, 0.9998026, -0.0057551, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,76.2699351,0.0222102,0.0363058,0.0046084,1.8751749,21.2733022,"[0.9973883, -0.0722432, -0.0025121, 0.0428792, 0.0722863, 0.9966466, 0.0384886, 0.0208297, -0.0002722, -0.0385696, 0.9992571, -0.0080514, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
