USE_Twb,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
False,1,0.1000000,100,50.1178670,0.0225752,0.0352204,0.0156454,2.6334958,20.2145117,"[1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,1,0.1000000,100,76.9307785,0.0128846,0.0239745,0.0173251,2.6334934,20.2145117,"[0.9999925, -0.0038247, -0.0005058, -0.0014842, 0.0038239, 0.9999916, -0.0014852, 0.0050887, 0.0005115, 0.0014833, 0.9999987, 0.0002014, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,5,0.1000000,100,75.4053874,0.0130675,0.0239871,0.0172300,2.6334937,20.2145117,"[0.9999927, -0.0037719, -0.0006052, -0.0011070, 0.0037709, 0.9999914, -0.0017245, 0.0052205, 0.0006117, 0.0017222, 0.9999983, 0.0002296, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,10,0.1000000,100,76.4813793,0.0138317,0.0239813,0.0174674,2.6334934,20.2145117,"[0.9999920, -0.0039676, -0.0004347, -0.0002081, 0.0039670, 0.9999910, -0.0015221, 0.0051234, 0.0004407, 0.0015204, 0.9999987, 0.0003142, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,15,0.1000000,100,73.6131098,0.0142126,0.0238322,0.0171347,2.6334937,20.2145117,"[0.9999901, -0.0042476, -0.0013064, 0.0001348, 0.0042434, 0.9999859, -0.0031986, 0.0052264, 0.0013199, 0.0031930, 0.9999940, 0.0005809, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,20,0.1000000,100,75.2062564,0.0142501,0.0238662,0.0175620,2.6334934,20.2145117,"[0.9999890, -0.0043481, -0.0017762, 0.0005979, 0.0043406, 0.9999817, -0.0042155, 0.0053927, 0.0017945, 0.0042077, 0.9999895, 0.0007173, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,25,0.1000000,100,74.2212439,0.0141531,0.0236340,0.0174674,2.6334934,20.2145117,"[0.9999889, -0.0041081, -0.0023137, 0.0014176, 0.0040965, 0.9999793, -0.0049559, 0.0057285, 0.0023340, 0.0049464, 0.9999850, 0.0008041, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,30,0.1000000,100,73.2404649,0.0141323,0.0235960,0.0174674,2.6334934,20.2145117,"[0.9999886, -0.0039664, -0.0026691, 0.0018301, 0.0039515, 0.9999768, -0.0055500, 0.0060925, 0.0026911, 0.0055394, 0.9999810, 0.0008682, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,35,0.1000000,100,71.1864343,0.0143450,0.0238852,0.0173251,2.6334934,20.2145117,"[0.9999867, -0.0039696, -0.0032843, 0.0018102, 0.0039478, 0.9999704, -0.0066117, 0.0064024, 0.0033105, 0.0065987, 0.9999728, 0.0008888, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,40,0.1000000,100,69.4834042,0.0145335,0.0241223,0.0172300,2.6334937,20.2145117,"[0.9999848, -0.0041532, -0.0036232, 0.0016537, 0.0041260, 0.9999633, -0.0075011, 0.0065366, 0.0036542, 0.0074860, 0.9999653, 0.0009229, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,45,0.1000000,100,69.0009179,0.0146234,0.0241626,0.0172776,2.6334934,20.2145117,"[0.9999955, -0.0027628, 0.0011684, 0.0008296, 0.0027534, 0.9999642, 0.0079952, 0.0047383, -0.0011905, -0.0079919, 0.9999673, -0.0037316, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,50,0.1000000,100,67.3068385,0.0142931,0.0239161,0.0171347,2.6334937,20.2145117,"[0.9999842, -0.0039017, -0.0040470, -0.0009341, 0.0038639, 0.9999492, -0.0093066, 0.0080743, 0.0040831, 0.0092908, 0.9999485, 0.0009529, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,55,0.1000000,100,65.7435982,0.0146628,0.0244326,0.0170870,2.6334937,20.2145117,"[0.9999825, -0.0043326, -0.0040247, -0.0092617, 0.0042903, 0.9999360, -0.0104710, 0.0061473, 0.0040698, 0.0104536, 0.9999371, 0.0016389, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,60,0.1000000,100,64.7823689,0.0157357,0.0257071,0.0169915,2.6334939,20.2145117,"[0.9999827, -0.0041525, -0.0041799, -0.0169985, 0.0041021, 0.9999196, -0.0119978, 0.0076738, 0.0042294, 0.0119804, 0.9999193, 0.0012427, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,65,0.1000000,100,58.9790967,0.0171906,0.0276196,0.0161750,2.6334951,20.2145117,"[0.9999868, -0.0037575, -0.0035222, -0.0252543, 0.0037143, 0.9999186, -0.0122011, 0.0098235, 0.0035678, 0.0121878, 0.9999194, 0.0008717, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,70,0.1000000,100,55.5214119,0.0187931,0.0298082,0.0156935,2.6334958,20.2145117,"[0.9999915, -0.0034755, -0.0022307, -0.0340973, 0.0034486, 0.9999225, -0.0119673, 0.0109269, 0.0022721, 0.0119595, 0.9999259, 0.0003178, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,75,0.1000000,100,54.8028591,0.0203469,0.0320351,0.0157416,2.6334958,20.2145117,"[0.9999935, -0.0032431, -0.0015922, -0.0404382, 0.0032207, 0.9998980, -0.0139152, 0.0131333, 0.0016372, 0.0139100, 0.9999019, -0.0016965, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,80,0.1000000,100,53.2160211,0.0217035,0.0339806,0.0155973,2.6334960,20.2145117,"[0.9999970, -0.0024229, 0.0005060, -0.0468045, 0.0024282, 0.9999384, -0.0108277, 0.0133241, -0.0004797, 0.0108289, 0.9999412, -0.0034000, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,85,0.1000000,100,51.8678279,0.0223172,0.0348643,0.0155973,2.6334960,20.2145117,"[0.9999952, -0.0017240, 0.0025717, -0.0529438, 0.0017430, 0.9999711, -0.0073982, 0.0129550, -0.0025588, 0.0074027, 0.9999693, -0.0041379, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,90,0.1000000,100,51.8718863,0.0225214,0.0351698,0.0156454,2.6334958,20.2145117,"[0.9999948, -0.0007987, 0.0031124, -0.0562539, 0.0008225, 0.9999704, -0.0076517, 0.0137083, -0.0031062, 0.0076543, 0.9999659, -0.0055978, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,95,0.1000000,100,50.8426771,0.0225643,0.0352068,0.0156454,2.6334958,20.2145117,"[0.9999902, 0.0000958, 0.0044352, -0.0609436, -0.0000744, 0.9999883, -0.0048344, 0.0146279, -0.0044356, 0.0048340, 0.9999785, -0.0055535, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
