USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
True,False,1,0.1000000,100,89.7535725,0.0193777,0.0314859,0.0374178,1.9183829,23.0430675,"[0.9999822, 0.0030390, 0.0051399, 0.0097583, -0.0030632, 0.9999842, 0.0047145, 0.0044362, -0.0051255, -0.0047302, 0.9999757, -0.0142024, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,12,0.1000000,100,86.3617194,0.0178707,0.0294194,0.0371764,1.9183824,23.0430675,"[0.9999896, 0.0023574, 0.0039035, 0.0113262, -0.0023590, 0.9999971, 0.0004176, 0.0043132, -0.0039025, -0.0004268, 0.9999923, -0.0157082, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
