USE_Twb,Obs-criteria,MIN_GPS_MEASUREMENTS_FOR_ALIGNMENT,gps_noise_std,MAX_GPS_MEASUREMENTS,Tiempo total de ejecución,RMSE posición,ATE,RMSE velocidad,RMSE rotación,Distancia recorrida,Transformación rígida (flattened)
True,False,1,0.1000000,100,80.1352546,0.0129093,0.0216905,0.0173357,2.6303515,20.2145117,"[0.9999925, -0.0038240, -0.0005029, -0.0015014, 0.0038233, 0.9999916, -0.0014705, 0.0050807, 0.0005085, 0.0014686, 0.9999988, 0.0001998, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
True,True,21,0.1000000,100,78.9561498,0.0142790,0.0239010,0.0176695,2.6303513,20.2145117,"[0.9999886, -0.0043619, -0.0019341, 0.0007262, 0.0043532, 0.9999804, -0.0044997, 0.0054482, 0.0019537, 0.0044912, 0.9999880, 0.0007560, 0.0000000, 0.0000000, 0.0000000, 1.0000000]"
